threads,brute_ms,lsh_ms,speedup_brute,speedup_lsh,recall
1,26829.325,1226.549,1.00,1.00,0.3500
2,13313.783,626.593,2.02,1.96,0.3500
4,7608.327,379.868,3.53,3.23,0.3500
8,5924.518,353.457,4.53,3.47,0.3500
12,5445.217,275.457,4.93,4.45,0.3500
