query_mode,threads,brute_ms,query_ms,query_us,nodes_mean,speedup_threads,speedup_brute
serial,1,207.868,467.139,934.3,19746,1.00,0.44
serial,2,106.402,245.556,491.1,19746,1.90,0.43
serial,4,82.301,125.171,250.3,19746,3.73,0.66
serial,8,52.825,96.006,192.0,19746,4.87,0.55
local-heaps,1,208.974,472.103,944.2,19747,1.00,0.44
local-heaps,2,105.821,250.341,500.7,19876,1.89,0.42
local-heaps,4,53.584,142.157,284.3,19938,3.32,0.38
local-heaps,8,42.926,142.951,285.9,19983,3.30,0.30
atomic-global,1,209.893,489.906,979.8,19747,1.00,0.43
atomic-global,2,104.863,256.965,513.9,19760,1.91,0.41
atomic-global,4,53.756,166.003,332.0,19784,2.95,0.32
atomic-global,8,70.734,278.439,556.9,19830,1.76,0.25
