query_mode,threads,brute_ms,query_ms,query_us,nodes_mean,speedup_threads,speedup_brute
serial,1,2485.266,162.247,324.5,3071,1.00,15.32
serial,2,1369.605,83.359,166.7,3071,1.95,16.43
serial,4,973.463,40.884,81.8,3071,3.97,23.81
serial,8,892.189,30.182,60.4,3071,5.38,29.56
local-heaps,1,2463.673,163.059,326.1,3072,1.00,15.11
local-heaps,2,1374.578,11750.228,23500.5,236503,0.01,0.12
local-heaps,4,956.483,9941.796,19883.6,418775,0.02,0.10
local-heaps,8,870.134,8892.249,17784.5,578636,0.02,0.10
atomic-global,1,2463.544,185.085,370.2,3072,1.00,13.31
atomic-global,2,1373.767,181.353,362.7,3183,1.02,7.58
atomic-global,4,925.450,181.293,362.6,3345,1.02,5.10
atomic-global,8,939.862,243.696,487.4,3644,0.76,3.86
