query_mode,threads,brute_ms,query_ms,query_us,nodes_mean,speedup_threads,speedup_brute
serial,1,26354.827,161839.908,323679.8,998996,1.00,0.16
serial,2,13247.892,84054.400,168108.8,998996,1.93,0.16
serial,4,6835.599,42693.248,85386.5,998996,3.79,0.16
serial,8,5241.645,26423.070,52846.1,998996,6.12,0.20
